gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,DIS_1,DIS_2,DIS_3,DIS_4,DIS_5,DIS_6
GENE4910,104,89,170,134,48,110,142,79,122,99,95,52
GENE4911,243,219,228,242,131,165,276,197,137,369,272,352
GENE4912,3,10,6,7,2,3,2,7,8,7,4,4
GENE4913,4,19,7,11,22,7,12,18,6,12,13,7
GENE4914,6,16,6,13,10,21,2,15,17,11,11,6
GENE4915,170,211,153,209,78,106,150,210,126,222,150,131
GENE4916,786,848,772,698,636,2264,786,1442,1645,1011,930,392
GENE4917,71,163,80,101,36,78,21,107,65,50,87,66
GENE4918,101,134,129,86,86,58,81,72,74,61,69,123
GENE4919,21,32,27,43,13,15,11,34,18,26,32,18
GENE4920,13,19,5,13,9,14,12,10,17,6,16,5
GENE4921,10,27,28,16,2,18,9,18,14,25,15,16
GENE4922,388,718,740,863,369,154,951,769,607,1102,479,590
GENE4923,18,29,27,27,32,119,78,51,28,44,30,29
GENE4924,32,51,36,30,19,54,67,25,34,118,67,63
GENE4925,166,73,154,197,65,156,120,183,136,67,169,153
GENE4926,60,68,37,64,26,43,56,125,28,58,44,37
GENE4927,110,579,209,251,247,347,179,465,137,228,271,283
GENE4928,39,92,57,53,20,70,456,426,107,220,485,175
GENE4929,102,61,83,78,78,95,113,111,82,63,39,123
GENE4930,91,77,106,55,50,193,55,112,36,73,30,62
GENE4931,17,38,5,25,18,52,109,123,121,176,159,246
GENE4932,18,28,39,42,21,43,23,43,19,60,34,33
GENE4933,163,235,187,91,131,303,230,255,156,238,61,116
GENE4934,40,51,63,64,76,101,24,96,71,69,98,52
GENE4935,40,25,41,23,15,27,6,12,21,31,12,15
GENE4936,50,26,43,38,30,105,49,113,39,115,43,61
GENE4937,3514,3684,2697,5519,1743,2248,1713,1781,2245,1989,2476,2329
GENE4938,16,37,49,20,37,32,18,58,61,20,59,21
GENE4939,9,10,33,31,3,21,39,44,43,49,49,36
GENE4940,71,74,67,140,97,184,74,166,48,132,52,120
GENE4941,693,1225,880,674,159,967,722,1158,280,785,686,1012
GENE4942,47,75,88,38,11,71,133,188,130,106,139,151
GENE4943,26,19,23,38,41,18,15,38,22,29,41,29
GENE4944,22,42,21,24,23,27,15,42,31,15,42,24
GENE4945,3,8,4,4,3,5,2,3,0,14,11,5
GENE4946,18,46,28,54,22,42,40,43,29,46,32,68
GENE4947,195,224,321,302,329,154,234,370,157,343,219,283
GENE4948,170,95,62,87,99,42,139,197,162,60,98,213
GENE4949,58,72,79,141,71,40,39,76,32,26,160,83
GENE4950,2,5,8,4,3,3,6,4,1,6,2,4
GENE4951,32,25,27,43,22,43,51,43,23,40,28,7
GENE4952,5,10,10,12,3,15,11,9,5,6,10,3
GENE4953,1,4,2,8,1,1,4,3,4,5,2,2
GENE4954,28,39,33,23,23,26,21,37,26,26,17,15
GENE4955,53,209,251,166,150,122,123,116,151,124,204,162
GENE4956,4,27,11,19,2,8,6,8,11,11,12,17
GENE4957,14,21,13,13,8,4,9,21,20,9,9,10
GENE4958,652,884,1319,659,452,391,820,438,474,1371,894,2236
GENE4959,142,55,83,109,128,294,103,225,105,102,298,141
GENE4960,458,193,509,182,182,230,294,444,222,774,289,295
GENE4961,92,108,339,261,296,659,281,1005,260,782,251,591
GENE4962,179,242,68,118,134,164,219,163,104,143,113,148
GENE4963,32,59,65,55,41,52,26,23,18,49,27,22
GENE4964,90,128,144,242,60,263,86,140,32,58,127,65
GENE4965,520,483,357,421,316,1061,495,372,546,513,605,561
GENE4966,62,72,37,136,62,70,59,68,60,72,91,62
GENE4967,38,101,112,35,32,101,39,68,62,62,93,76
GENE4968,47,57,71,79,48,114,40,149,47,59,69,45
GENE4969,145,260,211,188,64,161,181,221,116,299,278,233
GENE4970,17,11,23,22,19,12,23,35,3,28,27,16
GENE4971,523,801,918,1080,452,359,1264,754,276,409,385,781
GENE4972,133,346,181,317,128,351,246,256,288,344,270,111
GENE4973,10,29,17,22,6,7,41,49,13,15,17,31
GENE4974,767,1124,741,1054,453,1612,681,1542,237,683,1032,1127
GENE4975,5,6,4,13,1,4,0,3,2,3,5,2
GENE4976,2,7,7,3,1,2,2,8,2,4,2,0
GENE4977,125,158,59,169,108,92,137,207,101,79,103,49
GENE4978,24,18,12,24,6,22,19,26,6,6,21,9
GENE4979,14,10,29,30,7,26,20,36,6,7,27,7
GENE4980,49,105,84,146,30,105,164,207,119,170,96,116
GENE4981,160,216,106,736,42,286,201,294,315,215,236,513
GENE4982,1797,1452,1387,2128,1101,3111,816,536,361,994,653,232
GENE4983,67,55,94,112,132,136,66,188,137,180,89,109
GENE4984,15,7,12,8,13,33,11,19,13,27,9,8
GENE4985,128,48,66,88,40,99,277,467,85,384,261,604
GENE4986,25,33,45,11,25,28,18,72,25,37,9,28
GENE4987,18,22,17,19,11,30,6,20,17,19,17,13
GENE4988,133,352,198,562,237,449,473,327,317,444,195,271
GENE4989,300,353,1056,261,292,704,4090,2506,3405,5337,1392,4375
GENE4990,0,6,5,5,1,6,4,12,3,7,9,10
GENE4991,206,878,555,474,111,546,112,285,193,245,338,156
GENE4992,65,47,62,67,49,63,42,88,72,47,34,22
GENE4993,41,107,84,122,60,213,110,156,60,118,64,144
GENE4994,5,15,11,8,2,9,3,1,0,3,4,1
GENE4995,13,1,6,6,6,1,6,23,4,8,5,4
GENE4996,17,26,32,35,17,15,22,18,14,11,16,31
GENE4997,107,115,182,130,75,114,91,191,107,244,59,42
GENE4998,20,42,91,35,28,34,22,42,29,18,41,51
GENE4999,6,39,21,31,22,37,26,35,19,19,14,30
GENE5000,209,217,294,512,51,293,121,264,197,336,122,127
GENE5001,7,12,15,17,16,16,15,19,7,5,8,8
GENE5002,4,3,3,1,2,3,2,0,0,9,10,3
GENE5003,51,147,97,62,57,120,150,308,63,128,136,50
GENE5004,3,6,6,6,1,13,11,7,6,7,9,8
GENE5005,94,86,120,58,23,39,151,197,50,95,22,109
GENE5006,344,356,546,173,253,320,322,254,238,590,250,209
GENE5007,2,16,7,12,6,13,8,16,16,5,8,2
GENE5008,7,27,19,17,5,19,3,8,2,2,1,2
GENE5009,8,3,7,0,5,3,7,8,3,2,6,6
GENE5010,17,77,28,41,20,43,39,74,22,43,45,23
GENE5011,13,14,14,7,7,18,11,32,7,43,17,21
GENE5012,1,0,1,4,1,5,0,0,1,1,0,0
GENE5013,21,19,27,12,27,31,46,26,33,57,34,22
GENE5014,310,200,193,302,209,317,135,317,168,164,233,229
GENE5015,2,5,7,8,7,3,8,3,8,11,4,3
GENE5016,27,41,122,109,31,55,30,77,98,22,48,63
GENE5017,16,12,16,18,18,15,57,29,17,16,21,22
GENE5018,1,3,5,2,3,6,0,3,1,3,1,0
GENE5019,147,407,398,687,99,369,476,2187,400,876,950,727
GENE5020,35,73,96,124,47,116,223,492,176,408,289,151
GENE5021,42,82,54,58,43,130,40,53,28,79,54,74
GENE5022,6,19,12,6,16,12,10,27,13,28,4,18
GENE5023,2,4,1,1,0,3,4,7,2,1,2,1
GENE5024,108,196,213,127,60,111,119,319,129,226,160,129
GENE5025,10,16,8,18,0,8,12,12,13,22,20,18
GENE5026,928,998,787,683,244,1098,680,721,514,440,551,797
GENE5027,21,9,25,15,6,31,6,7,4,3,11,9
GENE5028,11,15,28,45,15,16,19,26,6,43,8,15
GENE5029,35,83,22,38,34,46,26,43,31,32,26,43
GENE5030,21,16,22,19,19,30,40,28,20,34,18,30
GENE5031,36,58,52,64,80,166,63,61,63,110,61,92
GENE5032,47,70,57,41,6,46,31,42,37,61,22,53
GENE5033,40,77,74,85,51,41,31,55,27,54,51,15
GENE5034,6,21,6,22,4,21,25,22,6,11,14,17
GENE5035,266,521,932,445,177,862,423,387,645,1042,262,632
GENE5036,32,54,79,86,51,56,73,48,62,32,21,46
GENE5037,30,36,31,15,18,40,19,44,9,45,21,17
GENE5038,46,51,35,60,28,99,75,71,27,16,33,34
GENE5039,11,17,10,7,6,20,12,14,14,13,4,13
GENE5040,8,30,15,51,13,47,36,35,18,24,31,17
GENE5041,66,92,92,178,39,81,92,50,65,53,40,54
GENE5042,30,86,64,60,25,25,68,34,49,100,89,32
GENE5043,871,1054,663,659,501,889,663,789,694,969,717,1068
GENE5044,21,62,30,64,45,46,29,52,23,20,30,13
GENE5045,104,61,85,72,57,162,107,200,50,17,112,193
GENE5046,4,15,16,5,7,20,12,14,8,13,12,18
GENE5047,363,298,393,371,305,265,491,682,243,385,397,316
GENE5048,27,39,39,36,8,27,30,31,17,99,52,35
GENE5049,843,1987,579,1594,545,533,1412,612,532,1331,750,1207
GENE5050,0,2,5,4,2,4,2,1,3,4,1,1
GENE5051,355,487,670,535,173,579,685,775,414,545,411,773
GENE5052,23,56,22,22,32,33,36,116,7,39,42,19
GENE5053,21,21,18,19,23,47,36,39,7,25,36,36
GENE5054,8,4,4,21,3,14,3,3,13,11,6,3
GENE5055,88,141,36,62,92,112,362,829,207,502,598,294
GENE5056,216,253,325,248,252,401,86,142,69,113,77,68
GENE5057,2,2,4,12,3,0,5,6,5,6,4,9
GENE5058,90,112,110,50,65,47,69,66,103,91,23,116
GENE5059,6,12,18,4,8,12,16,21,9,25,12,15
GENE5060,70,84,78,72,82,65,98,11,54,47,31,137
GENE5061,42,27,76,152,10,99,82,106,117,45,63,45
GENE5062,4,8,6,16,6,9,4,14,5,4,10,2
GENE5063,4,1,6,1,4,3,1,4,1,4,1,1
GENE5064,16,38,36,57,18,39,35,39,27,9,11,24
GENE5065,151,146,122,149,84,260,152,155,49,153,71,154
GENE5066,5,3,12,7,7,9,7,11,8,10,9,1
GENE5067,29,60,36,77,24,53,45,55,20,84,64,44
GENE5068,52,142,81,96,87,217,113,187,67,88,119,54
GENE5069,7,12,13,35,9,12,6,3,17,10,22,15
GENE5070,4,5,10,13,2,11,6,2,4,8,8,12
GENE5071,9,25,19,23,8,43,23,45,20,19,17,25
GENE5072,217,159,279,204,73,89,100,149,119,303,150,184
GENE5073,69,31,59,71,40,52,30,11,42,33,33,38
GENE5074,241,276,256,176,295,363,389,533,183,384,337,360
GENE5075,7,7,7,5,7,8,8,11,1,9,8,5
GENE5076,1233,2633,2190,2328,1804,2048,2282,1480,838,878,1239,2604
GENE5077,73,60,81,111,33,73,20,28,14,37,12,15
GENE5078,11,11,17,7,13,14,7,10,20,24,15,14
GENE5079,260,134,528,350,258,537,24,58,54,39,41,90
GENE5080,17,12,33,40,13,52,18,29,22,14,24,26
GENE5081,14,24,22,7,8,23,20,10,14,18,13,26
GENE5082,17,31,7,39,11,19,20,31,9,20,12,14
GENE5083,2,1,3,7,3,1,0,0,0,1,0,1
GENE5084,185,99,167,135,99,165,120,309,107,92,66,171
GENE5085,22,23,37,28,8,23,49,62,17,51,21,22
GENE5086,15,29,25,20,22,30,27,8,11,12,14,8
GENE5087,13,19,2,11,4,14,9,6,6,3,1,3
GENE5088,220,539,402,449,362,288,591,1045,385,410,257,465
GENE5089,32,43,27,46,38,44,51,39,36,63,61,52
GENE5090,18,20,32,40,13,5,23,29,26,36,16,9
GENE5091,102,165,213,194,164,256,176,167,135,127,112,192
GENE5092,13,14,24,11,21,19,17,41,5,17,14,9
GENE5093,30,27,16,18,17,19,16,13,11,19,10,19
GENE5094,88,361,221,109,109,256,413,847,812,981,638,1383
GENE5095,121,251,76,221,63,140,65,287,118,242,94,120
GENE5096,79,124,92,237,133,75,53,171,70,100,85,60
GENE5097,39,144,156,206,81,125,609,913,674,1131,688,1381
GENE5098,38,78,53,27,26,111,36,101,66,104,16,32
GENE5099,9,5,16,11,5,10,13,17,9,15,12,11
GENE5100,19,33,36,65,33,49,16,48,33,28,96,36
GENE5101,515,438,623,1107,202,962,1328,1796,801,1563,459,933
GENE5102,19,23,25,41,15,21,38,22,15,27,21,29
GENE5103,308,252,192,621,108,103,108,325,225,226,127,262
GENE5104,11,10,6,13,1,11,19,17,16,21,7,13
GENE5105,33,79,60,89,31,130,84,99,79,132,113,65
GENE5106,16,7,9,14,9,25,12,31,6,30,9,9
GENE5107,56,77,61,60,31,81,76,111,42,119,51,73
GENE5108,19,10,39,11,3,34,22,31,8,12,17,12
GENE5109,3,3,3,1,2,6,0,10,2,5,3,2
GENE5110,18,32,37,19,13,47,8,32,12,44,41,26
GENE5111,144,248,207,223,186,210,142,190,196,276,244,321
GENE5112,27,16,19,24,12,14,34,16,5,27,13,21
GENE5113,20,28,15,20,5,33,26,32,20,16,30,29
GENE5114,15,39,35,24,22,47,16,25,43,22,27,12
GENE5115,10,26,38,19,14,19,20,18,20,24,37,34
GENE5116,125,274,288,252,35,290,113,238,189,214,142,193
GENE5117,75,109,95,69,28,91,17,20,7,25,9,10
GENE5118,32,23,2,19,26,48,17,38,15,34,23,22
GENE5119,0,12,7,11,2,7,3,10,6,12,7,8
GENE5120,242,801,571,269,223,643,403,520,365,706,414,396
GENE5121,11,30,46,46,32,21,142,121,176,237,213,103
GENE5122,31,45,34,66,4,13,150,143,252,369,98,231
GENE5123,6,6,5,5,2,10,7,7,7,7,5,9
GENE5124,53,94,143,172,115,205,155,142,44,81,79,122
GENE5125,69,115,42,69,29,95,71,84,36,90,52,50
GENE5126,39,47,36,110,22,36,5,14,9,5,5,10
GENE5127,6,3,5,4,1,8,5,2,3,4,3,5
GENE5128,2,8,5,5,5,3,4,4,2,2,5,3
GENE5129,16,13,15,32,20,20,35,40,39,27,19,42
GENE5130,3315,2463,1231,1785,1334,2340,3159,2204,1090,3135,901,1337
GENE5131,18,23,46,54,41,50,36,41,21,50,42,33
GENE5132,117,288,222,203,151,99,196,396,72,189,78,34
GENE5133,844,2503,898,1435,461,1487,1519,1428,646,1631,991,436
GENE5134,438,404,383,1057,340,448,108,696,236,449,344,372
GENE5135,70,125,59,119,60,85,64,125,62,95,39,72
GENE5136,2,2,1,0,2,3,3,12,3,6,0,1
GENE5137,76,96,44,70,26,72,65,37,46,136,36,46
GENE5138,159,164,111,275,140,226,120,235,71,127,161,129
GENE5139,78,85,104,134,67,128,111,180,40,48,86,67
GENE5140,24,19,25,35,30,36,32,33,28,28,16,21
GENE5141,5,6,7,7,3,13,5,1,4,4,9,3
GENE5142,102,157,161,135,85,243,193,122,71,272,176,164
GENE5143,242,585,191,351,228,457,250,557,65,213,432,114
GENE5144,44,98,38,54,81,29,83,53,13,59,30,65
GENE5145,37,30,33,25,24,41,12,62,35,35,61,43
GENE5146,49,95,52,72,47,115,779,2009,698,598,305,632
GENE5147,5,10,6,13,3,13,3,7,6,3,4,8
GENE5148,9,21,23,22,5,15,17,29,22,12,8,13
GENE5149,39,46,32,59,20,67,37,84,25,80,45,66
GENE5150,5,4,2,5,3,6,5,5,7,5,10,3
GENE5151,76,109,79,222,76,148,162,407,111,87,175,151
GENE5152,56,14,68,63,43,32,62,72,11,73,60,45
GENE5153,60,199,197,223,90,117,92,173,101,66,167,100
GENE5154,1,5,4,7,1,10,3,9,3,4,8,3
GENE5155,43,44,106,82,24,102,58,138,29,109,53,51
GENE5156,15,11,14,7,7,27,13,7,3,2,1,1
GENE5157,82,59,67,94,40,70,95,113,116,79,85,81
GENE5158,6,6,15,16,1,7,3,1,2,1,1,3
GENE5159,82,52,61,70,74,138,19,120,35,54,93,42
GENE5160,1697,2817,2407,2514,1127,2532,1162,3478,1598,2371,3880,2849
GENE5161,10,13,8,13,3,20,17,15,20,21,15,12
GENE5162,51,80,86,106,28,104,103,54,68,42,34,66
GENE5163,70,87,65,96,60,112,14,42,2,14,34,29
GENE5164,196,73,376,347,373,579,148,594,172,283,291,205
GENE5165,165,245,96,220,78,125,118,325,156,167,84,196
GENE5166,61,165,137,210,132,202,110,362,138,126,195,182
GENE5167,6,7,8,7,1,11,7,7,7,10,3,12
GENE5168,9,28,34,12,28,17,151,344,373,118,138,195
GENE5169,5,8,1,6,3,7,1,6,0,4,0,2
GENE5170,10,5,20,9,2,10,13,13,6,9,16,7
GENE5171,282,950,277,755,382,298,528,600,279,750,191,323
GENE5172,18,30,38,64,20,36,14,62,38,32,35,47
GENE5173,5,4,7,18,2,4,5,9,10,8,5,5
GENE5174,36,23,39,18,30,28,32,31,30,41,24,25
GENE5175,242,201,354,324,130,382,245,275,100,514,134,307
GENE5176,11,12,16,27,2,20,5,21,15,30,24,11
GENE5177,40,40,26,45,19,29,24,18,31,40,52,20
GENE5178,10,15,15,5,6,14,67,96,37,88,33,28
GENE5179,13,16,4,11,3,5,7,8,7,17,13,7
GENE5180,147,91,78,101,93,164,55,57,97,86,201,133
GENE5181,234,699,552,426,513,533,249,865,253,330,319,448
GENE5182,6,21,22,27,3,22,4,21,14,24,27,25
GENE5183,437,594,461,828,263,598,911,795,592,1307,629,569
GENE5184,2,7,10,14,5,18,7,29,4,3,12,9
GENE5185,1205,1314,536,685,958,1255,451,646,444,978,2615,969
GENE5186,75,209,61,83,48,30,93,59,31,60,71,58
GENE5187,1022,1563,1143,1092,124,2722,665,1422,779,646,971,341
GENE5188,2,7,9,14,7,16,6,9,8,10,13,9
GENE5189,119,194,250,222,145,369,332,284,132,256,161,101
GENE5190,274,306,151,239,272,278,286,223,225,385,137,177
GENE5191,3,15,11,6,1,19,12,20,3,22,3,7
GENE5192,7,17,12,7,5,10,9,7,16,18,2,14
GENE5193,25,11,47,23,19,38,33,84,39,119,50,26
GENE5194,1,11,8,20,20,15,17,23,6,9,4,15
GENE5195,175,167,251,302,102,325,397,380,273,481,239,115
GENE5196,4,30,26,19,11,27,15,39,13,12,21,14
GENE5197,19,55,35,79,20,36,65,23,29,23,30,47
GENE5198,54,70,36,49,26,80,85,138,18,58,47,73
GENE5199,902,1141,768,489,609,754,331,1345,588,1167,605,781
GENE5200,343,281,165,462,221,453,171,318,170,375,274,227
GENE5201,109,387,131,236,170,211,224,298,65,238,271,177
GENE5202,63,74,87,70,34,53,15,92,52,50,31,43
GENE5203,65,101,72,59,123,149,82,194,52,38,102,134
GENE5204,4,6,2,1,2,1,2,1,1,0,0,1
GENE5205,53,36,38,33,12,31,32,39,23,59,30,25
GENE5206,11,18,7,13,3,8,0,1,0,0,1,1
GENE5207,40,74,44,45,83,45,72,64,34,93,78,34
GENE5208,38,38,59,42,50,36,68,24,51,41,38,21
GENE5209,11,20,14,25,8,21,3,8,5,7,4,5
GENE5210,36,77,34,55,70,91,83,67,13,49,32,49
GENE5211,41,54,53,73,55,113,40,80,63,58,76,64
GENE5212,15,4,2,7,2,6,6,18,9,5,3,13
GENE5213,220,187,171,202,108,216,160,173,101,240,143,131
GENE5214,76,102,113,162,77,90,87,30,29,137,102,60
GENE5215,31,115,46,75,5,57,46,61,44,33,66,39
GENE5216,60,96,37,75,68,156,103,104,78,97,87,144
GENE5217,455,186,416,632,195,483,468,734,191,166,112,412
GENE5218,250,284,234,418,319,482,640,450,297,387,439,172
GENE5219,128,250,237,713,121,201,256,382,174,107,273,76
GENE5220,95,122,102,118,38,80,75,139,65,40,70,81
GENE5221,2047,1762,1459,972,1529,1112,562,2124,1058,979,1962,1666
GENE5222,1041,1050,399,1834,792,989,1359,702,679,206,1094,904
GENE5223,4,4,4,6,2,1,1,5,1,2,4,4
GENE5224,88,196,131,238,193,181,351,298,314,565,734,556
GENE5225,1,0,6,8,3,1,1,1,1,5,6,1
GENE5226,195,179,167,166,186,250,919,1092,223,1384,233,846
GENE5227,385,212,226,366,126,192,393,540,190,326,466,400
GENE5228,52,61,43,81,44,74,64,70,45,74,62,43
GENE5229,77,39,36,75,28,67,59,111,46,40,95,61
GENE5230,68,171,102,140,126,97,118,210,85,160,127,134
GENE5231,232,144,121,262,102,122,252,177,88,126,127,167
GENE5232,61,81,28,84,66,199,75,78,60,67,93,61
GENE5233,4,6,9,2,7,2,7,7,7,15,2,5
GENE5234,26,22,10,36,10,28,28,15,22,12,8,25
GENE5235,146,116,292,330,261,479,445,511,179,459,294,237
GENE5236,42,63,65,76,28,73,95,55,91,107,51,82
GENE5237,45,42,56,79,56,20,315,248,153,244,213,154
GENE5238,462,485,591,224,411,510,411,704,507,462,415,239
GENE5239,39,36,43,29,17,32,26,39,28,27,16,16
GENE5240,6,14,11,16,11,10,18,18,6,24,27,5
GENE5241,5,6,3,17,12,17,21,13,6,12,9,4
GENE5242,655,855,577,716,409,1328,364,1005,528,501,427,874
GENE5243,15,18,16,21,2,45,23,17,26,37,28,3
GENE5244,328,383,631,729,297,990,488,384,507,628,422,577
GENE5245,65,48,67,101,32,151,65,56,50,169,76,65
GENE5246,35,34,33,21,10,55,30,72,42,27,48,41
GENE5247,87,123,65,122,40,168,81,163,71,233,124,66
GENE5248,29,30,12,35,21,28,22,50,21,53,10,27
GENE5249,10,7,1,13,5,13,11,9,11,4,0,13
GENE5250,255,146,115,329,84,80,306,290,136,223,187,103
GENE5251,151,240,235,214,99,290,187,321,150,274,112,191
GENE5252,11,18,8,31,5,25,26,7,23,29,18,10
GENE5253,14,14,7,31,6,19,29,25,6,32,7,9
GENE5254,2568,949,1144,2640,1868,2652,1085,2161,2514,2116,2213,1201
GENE5255,141,90,126,36,68,124,41,129,77,70,87,52
GENE5256,162,352,164,183,116,467,145,204,110,106,224,304
GENE5257,12,32,18,14,7,17,20,24,18,18,17,11
GENE5258,10,14,8,13,8,7,16,25,13,5,14,13
GENE5259,963,391,659,1210,603,1035,517,771,1010,838,873,331
GENE5260,2,7,7,8,4,11,1,3,1,3,1,0
GENE5261,1,11,6,6,4,0,9,5,2,3,2,5
GENE5262,58,238,105,241,63,243,138,160,76,135,271,106
GENE5263,23,29,29,55,19,57,27,51,72,38,46,26
GENE5264,8,24,9,26,10,13,4,14,4,9,12,14
GENE5265,6,13,10,7,3,6,5,13,13,16,4,5
GENE5266,47,75,94,34,54,79,121,103,82,86,87,71
GENE5267,49,118,52,102,54,78,31,38,33,49,39,82
GENE5268,10,59,69,37,21,38,44,62,37,20,51,50
GENE5269,1,13,38,13,8,23,13,34,9,21,21,14
GENE5270,339,507,248,382,202,224,179,223,318,558,225,175
GENE5271,2,0,4,2,1,5,6,6,1,1,4,1
GENE5272,392,327,299,633,63,345,279,460,375,503,188,345
GENE5273,2673,3007,4351,5653,4238,5254,5475,6541,2954,3793,5702,1074
GENE5274,19,36,24,57,10,25,25,54,30,24,18,35
GENE5275,155,289,156,181,106,111,85,110,90,91,84,51
GENE5276,6,4,14,12,2,10,8,22,2,12,4,10
GENE5277,16,23,13,5,15,21,15,13,7,5,18,14
GENE5278,1183,1944,1170,2343,706,1399,1610,2148,1304,1803,2394,579
GENE5279,104,168,85,60,110,136,165,158,55,100,156,115
GENE5280,340,512,402,115,324,398,208,549,186,447,213,247
GENE5281,253,156,162,312,26,126,398,405,161,209,297,356
GENE5282,4,0,3,7,0,11,1,6,1,1,3,4
GENE5283,3,5,3,0,1,14,1,3,2,3,2,2
GENE5284,10,18,12,21,6,29,8,11,12,27,18,8
GENE5285,87,296,133,265,117,73,160,184,79,177,148,114
GENE5286,0,2,2,1,0,2,3,8,1,8,4,4
GENE5287,139,41,201,287,59,185,314,151,57,219,204,178
GENE5288,50,65,38,101,61,20,38,79,62,41,49,45
GENE5289,328,343,166,622,355,773,590,1665,1203,544,1137,1674
GENE5290,39,62,12,25,14,16,28,29,16,25,40,41
GENE5291,16,18,21,41,8,24,30,16,10,27,13,27
GENE5292,22,18,7,33,11,16,17,12,26,25,14,14
GENE5293,17,20,51,14,15,32,46,38,12,7,45,27
GENE5294,8,19,23,17,12,20,10,10,16,17,18,16
GENE5295,3,4,9,21,3,4,10,15,5,3,7,6
GENE5296,78,70,89,71,36,103,50,157,60,124,86,75
GENE5297,2230,2215,4339,1722,1255,1787,1353,5162,2923,2004,3658,1841
GENE5298,86,155,124,59,23,165,76,132,93,113,101,25
GENE5299,285,708,630,901,459,772,759,1038,792,406,559,628
GENE5300,6,7,10,3,3,12,6,11,6,13,4,4
GENE5301,186,302,250,302,66,408,325,588,114,232,441,296
GENE5302,49,85,92,87,29,60,100,92,24,133,98,79
GENE5303,136,246,142,164,205,353,304,562,110,347,173,246
GENE5304,111,101,40,132,109,136,38,98,93,91,78,81
GENE5305,11,8,11,21,7,22,14,37,4,13,6,11
GENE5306,10,13,24,15,11,12,12,5,5,9,17,27
GENE5307,52,123,113,83,52,80,85,127,102,124,177,110
GENE5308,10,22,18,45,7,19,22,22,18,15,25,13
GENE5309,158,116,185,219,114,127,300,253,137,243,126,131
GENE5310,15,12,17,34,5,9,25,25,9,25,26,28
GENE5311,12,42,55,73,30,30,38,72,20,50,33,22
GENE5312,100,144,96,117,69,148,694,872,703,1040,689,1338
GENE5313,55,77,54,26,34,155,108,163,37,104,87,85
GENE5314,137,54,47,72,25,32,80,70,83,56,98,48
GENE5315,78,126,50,129,24,84,70,193,59,54,76,51
GENE5316,2,2,2,3,0,3,3,2,1,2,3,3
GENE5317,1,3,6,2,3,1,2,10,2,0,3,3
GENE5318,380,409,564,399,186,413,265,336,109,366,166,302
GENE5319,443,418,373,447,247,725,731,816,444,232,676,335
GENE5320,153,253,158,127,261,338,160,444,140,329,222,84
GENE5321,356,207,134,208,107,267,236,398,187,195,242,235
GENE5322,35,62,43,25,20,30,41,68,34,31,24,36
GENE5323,4,1,4,3,2,6,3,3,4,2,8,4
GENE5324,20,28,36,51,8,34,41,30,28,41,28,30
GENE5325,344,154,475,191,249,182,956,5719,2371,2308,3161,2138
GENE5326,37,13,10,14,13,37,26,48,10,24,28,20
GENE5327,20,29,21,23,20,30,34,33,32,36,5,10
GENE5328,137,67,181,147,41,209,144,216,122,253,105,81
GENE5329,26,21,14,52,11,28,18,17,17,44,6,20
GENE5330,29,33,40,44,8,55,49,46,15,43,45,16
GENE5331,16,9,19,23,7,8,2,24,6,32,21,12
GENE5332,30,42,37,79,31,27,29,50,49,26,31,17
GENE5333,177,179,68,137,112,99,62,80,93,149,103,79
GENE5334,690,835,724,553,235,302,86,100,64,159,104,70
GENE5335,226,865,551,582,365,472,637,1811,98,1058,285,329
GENE5336,38,31,20,8,11,24,4,30,10,11,9,8
GENE5337,24,24,21,23,16,49,26,52,22,13,34,43
GENE5338,111,181,183,114,74,138,146,169,110,244,99,105
GENE5339,28,19,22,38,23,38,17,39,35,76,18,33
GENE5340,5,0,0,2,1,7,1,9,3,1,3,1
GENE5341,801,574,686,2124,634,1297,880,1350,582,1892,1029,1210
GENE5342,8,4,4,15,13,12,13,23,12,8,9,11
GENE5343,48,57,72,92,61,126,55,114,62,52,88,60
GENE5344,22,94,29,44,33,32,46,66,32,38,27,38
GENE5345,50,54,29,64,55,94,82,173,159,165,181,167
GENE5346,17,33,40,35,19,16,9,20,4,31,39,39
GENE5347,66,120,44,52,28,100,47,49,52,44,34,45
GENE5348,4,2,3,4,1,3,3,9,1,3,3,0
GENE5349,63,81,75,87,67,102,28,43,11,26,31,36
GENE5350,21,29,8,15,15,12,33,16,19,15,8,11
GENE5351,15,40,23,59,20,39,31,15,16,16,56,21
GENE5352,113,188,133,154,115,184,316,158,126,180,228,140
GENE5353,31,49,49,53,39,23,45,71,42,22,40,57
GENE5354,279,137,443,208,86,234,125,347,171,287,433,144
GENE5355,9,47,7,33,22,54,34,54,24,42,3,22
GENE5356,584,733,1596,1125,510,1227,805,1455,1034,1488,2310,1084
GENE5357,16,15,9,16,10,25,34,11,6,33,24,20
GENE5358,16,22,22,39,16,18,21,34,34,4,20,22
GENE5359,40,23,19,42,23,56,15,21,18,44,18,21
GENE5360,130,76,99,97,111,96,135,140,76,101,121,113
GENE5361,8,14,15,22,5,44,17,42,12,18,15,17
GENE5362,146,210,208,223,49,311,255,281,114,243,108,147
GENE5363,32,12,28,49,4,34,21,51,15,44,41,29
GENE5364,110,84,70,64,64,101,41,44,46,102,124,93
GENE5365,8,28,22,30,15,10,23,24,19,21,6,16
